image,prompt,path
0115.png,"there is a woman jumping on a bed with a sheet on it, park ji-min, shattering walls, creepy child, harry styles, vfx, walls, black and white paint, in 2 0 1 5, inspired by Louis Hersent, art direction, giant kicking foot, noir animation",Enabled_00033_.csv
0014.png,"there is a baby that is sitting on a bed with a shirt on, british pathe archive, amazing short, hedi slimane, ca. 2001, portrait of a patchwork boy, (anthropology of wonder), jacques - yves cousteau, designers republic, peter dinklage, kodak 5219, postpunk",Enabled_00033_.csv
0130.png,"there is a man laying on a bed with a remote control, award - winning pencil drawing, memphis rap, anamorphic 35 mm lens, david burnett, in foreground boy with shotgun, 2 0 1 5 cinematography, black and white color photograph, instagram highlights, cameraphone 2002, black teenage girl, gallant",Enabled_00033_.csv
0068.png,"there is a woman standing on a bed with a messy bed spread, anamorphic film, contemporary dance, black and white film photograph, human body breaking away, restrained, aspect ratio 16:9, without text, little nightmares, rated r, damaged",Enabled_00033_.csv
0137.png,"there is a woman laying on a bed with a remote control, joongwon jeong, inspired by Bert Stern, kisses are wordless spells, still image from the movie, filmstill, hugging each other, torn fabric, loosely cropped, grainy black and white footage, brooklyn museum, cgi art, in the morning",Enabled_00033_.csv
0013.png,"arafed boy in a baseball cap leaning on a baseball bat, by Leandro Erlich, black and white gainy film, underwater face, creepy masked marionette puppet, screenshot from a movie, g cgsociety, crawling towards the camera, by Wojciech Siudmak, cyborg whale, boy, extremely realistic and real, realistic paint, kid",Enabled_00033_.csv
0139.png,"there is a young boy sitting on a bed with a hat on, highly detailed surreal vfx, inspired by Riad Beyrouti, sumi - e art, still image from the movie, father holds child in the hand, boulder chase, official artwork, syndicate(2012), aspect ratio 1:3, aardman, dramatic cinematic action shot, mono",Enabled_00033_.csv
0061.png,"they are playing a game of wii on the bed together, eiko hosoe, women fighting men, parallax », panning shot, 1 9 8 0 s cgi, photography ultrafine detail, season 3 ( 1 9 9 7 ), anamorphic film, nba, blurred photo, inspired by Robert Dickerson",Enabled_00033_.csv
0066.png,"there is a man that is jumping on a bed with a pillow, gutai group, cinematic style photograph, torn clothes, factory floor, closeup of a butcher working, exploited, taken with canon eos 5 d, korean film noir, anamorphic illustration, archive photograph",Enabled_00033_.csv
0053.png,"they are playing a game of wii on the bed together, official jil sander editorial, combat scene, filmstill, fragmented, inspired by Albert Bertelsen, gameplay screenshot, smashed wall, punching in a bag, zoom blur, lower quality, by Gao Cen, 2 0 1 5, anamorphic",Enabled_00033_.csv
0082.png,"there are many bags of white cloths piled together on a table, inside a futuristic army base, black-and-white photography, human bodies intertwined, official artwork, people drowning, quilt, bags, by Pascal Blanché, closeup of arms, 50, soldiers, rubbery",Enabled_00033_.csv
0054.png,"there are three children playing on a bed with sheets and sheets, inspired by Li Shida, techwear look and clothes, males and females breakdancing, blurred detail, syndicate(2012), technouveau, white and black color palette, seoul, album photo, 1 9 9 8, detonation",Enabled_00033_.csv
0085.png,"a close up of a pile of unmade beds with sheets on them, still frame from prometheus, photographic style of avedon, album artwork, slaughterhouse, official artwork, bodies, quilt, reflective faces, black and white artwork, detached sleeves, many mouths, lungs, and you fade away just enough, performing to dead soldiers, mummy, techwear",Enabled_00033_.csv
0028.png,"araffes in a white shirt and black pants are throwing a frisbee, photography of charline von heyl, still from the film, wearing black hooded cloak, sleep paralysis demon, mecha wings, defocus, wearing hakama, cgsociety 9, demon boy, flowing fabric",Enabled_00033_.csv
0102.png,"there is a man laying on a bed with his arms outstretched, still frame from prometheus, raf simons, crash landing, rocks, key is on the center of image, standing on a mountain top, blowing sands, black and white palette, bjork smiling, midair, centred position, running at the edge of space, awe-inspiring. award-winning",Enabled_00033_.csv
0026.png,"there are two people that are fighting over a bird, 1950s korean film noir, sufism, zoom blur, wearing white robes, araki, 35mm film still from 1994, in a fighting stance, image in center, dynamic closeup, aspect ratio 16:9, archival photo",Enabled_00033_.csv
0021.png,"there is a bed with a bunch of clothes on it, matte sharp painting, black squares on 4 corners, killy from blame!, 1950s korean thriller film noir, negative space is mandatory, tiles curtains, loosely cropped, concept art of single boy, black veins, bluray image, very aesthetic!!!!!!!!!!!!!!!, very aesthetic, splotches",Enabled_00033_.csv
0105.png,"there is a man that is standing on a skateboard in the air, cloth simulation with houdini, dust clouds | homoerotic, shot on anamorphic lenses, rick owens, film still from dune 2020, beautiful flowing fabric, sumi - e style, fighting stance, screenshots, by Dan Smith, aspect ratio 16:9, afro - futurist style",Enabled_00033_.csv
0030.png,"there is a black and white photo of a person laying on the floor, 2 0 1 5 live music video, flying through the air, movie filmstill, temporal super resolution, adut akech, white sheets, black cape, circa 1 9 6 9, black teenage boy, motionblur, hanging scroll, restored photo, character is flying, 8 h",Enabled_00033_.csv
0114.png,"there is a man standing on a bed with a tv in the corner, black eyed kids, british stopmotion, black and white cinematography, anamorphic cinematography, white man with black fabric mask, half wooden pinocchio, north korean slasher, noisy film grain effect, six from little nightmares, scp foundation, ironic surrealism, childhood, destroying the walls, creepy child",Enabled_00033_.csv
0113.png,"there is a young girl jumping on a bed in a room, inspired by Peter Lindbergh, black people, 2 years old, film screenshot, six from little nightmares, black and white color photograph, syndicate(2012), urban playground, archival footage, captura, toddler, black walls, damaged streets, flag in his right hand, photo taken with canon 5d",Enabled_00033_.csv
0037.png,"there is a woman laying on a bed in a room, rotoscoping, african mythology, colour corrected, midair, movie screenshot, bed, female cyborg black silhouette, syndicate(2012), anamorphic, fabrics and textiles, after effects, dark-skinned, sleepwear",Enabled_00033_.csv
0094.png,"snow covered ground with a black and white photo of a person walking, still from akira (1988), the surface of the sun, extremely detailed water texture, official music video, guilty gear art direction, texture quality high, shot on red camera, black swans, inspired by Marsden Hartley",Enabled_00033_.csv
0045.png,"there is a man that is jumping on a bed with a cat, panoramic anamorphic, contemporary dance, loosely cropped, falling apart, frequency indie album cover, 2 0 1 5 cinematography, award-winning magazine photo, dead women, grainy damaged photo, by J. L. Lund, rotated, black walls",Enabled_00033_.csv
0039.png,"there is a man laying on a bed with a remote control, cyborg fashion shot, anamorphic, youtube video screenshot, julian ope, pointy jester shoes, white ceiling, stomping, by Bruce Onobrakpeya, metallic scales",Enabled_00033_.csv
0093.png,"a close up of a black and white photo of snow covered ground, in screenshot from the 300 movie, from evangelion, noise rock album cover, by Wuzhun Shifan, dead bodies scattered in mud, dithered, hundreds of them, inspired by Jeanne Hébuterne, conformity",Enabled_00033_.csv
0042.png,"there is a man that is laying on a bed with a pillow, contemporary dance, aspect ratio 1:3, super high speed photography, the hair reaches the ground, digital screenshot, two skinny figures, still from a music video, stomping, black walls, happy and disarmed",Enabled_00033_.csv
0077.png,"araffes in a black and white photo are dancing in a bed, walls of large moving images, action painting, 1980 cinematography, draped in flowing fabric, showstudio, promotional render, still photo, smeared flowers, a photocopy, monochromatic airbrush painting",Enabled_00033_.csv
0070.png,"they are jumping on the bed together in the air, still from film, circa 2 0 0 8, realistic black and white, energetic composition, random object movement, milkboys, dog man, evermotion, corinne day, 2 0 0 0 s cover art, demon boy, broken camera",Enabled_00033_.csv
0128.png,"there is a man laying on a bed with a headband on, slow shutter, running cat, animal hat, mono, cecco bravo, white cap, toy, falling out of the face, archillect, jesse pinkman, alarm clock, panning shot, animatic, bad bunny, sheet, throw",Enabled_00033_.csv
0126.png,"there is a blurry photo of a person laying on a bed, i-d magazine, willow smith young, punching, slow shutter, sock cap, boy, black-and-white photography, wearing a baggy, flying books, scattered, kicking, stomping",Enabled_00033_.csv
0002.png,"arafed man sitting on a bed with his hands on his face, film still from a horror movie, contemporary dance, crying and reaching with her arm, irradiated humans, closes her eye, screengrab, by Kanō Sanraku, blurry image, he is screaming, in distress, eraserhead, amazing photorealistic graphics, winning award image",Enabled_00033_.csv
0005.png,"arafed man with painted face and nose lying on bed, shane mcgowan, extreme motion blur on people, shot on anamorphic lenses, fetish, black-and-white photography, extreme motion blur, chopping hands, aspect ratio 1:3, schizophrenic, in a claustrophobic, david noton, promotional render, david schwimmer screaming",Enabled_00033_.csv
0079.png,"there is a black and white photo of a man in a suit, inspired by Jeremy Geddes, abstract mosh pit, ca. 1990, various refining techniques, anamorphic film, film screenshot, inspired by Federico Barocci, spectral evolution, ffffound, 1 9 4 8 photo, artforum, rotoscope",Enabled_00033_.csv
0121.png,"there is a young girl jumping on a bed in a bedroom, inspired by Zdeněk Burian, dance scene, scp-049, filmstill, headbanging, film still from the movie, aspect ratio 16:9, whirlwind, greyscale 1 9 9 0, waking up, by Ben Enwonwu, stomping, slutcore",Enabled_00033_.csv
0099.png,"araffe standing in front of a snow covered roof with a sky background, still frame from prometheus, portrait of kanye west, in the burning soil desert, inspired by L. A. Ring, grainy black and white footage, 2 0 1 5 cinematography, visible texture, dunes, 2003 cinematography, she is the queen of black roses, archaeology",Enabled_00033_.csv
0048.png,"someone is jumping on a bed with a black shirt on, cinematic mid shot fight, marfan syndrome, ƒ / 8, hand, distorted, ian, transforming into his final form, poggers, inspired by Chaim Soutine, malnourished, music video, action photo, claw, widescreen shot, 144p, hyperrealistic matte painting",Enabled_00033_.csv
0110.png,"arafed woman in a black and white photo jumping on a bed, hito steyerl, movie action still frame, running towards the camera, big long cloth on the wind, quilt, fashion gameplay screenshot, photocopied, photo blurring, fighting art, araki style, midair",Enabled_00033_.csv
0034.png,"there is a man laying on a bed with a skateboard, cinematic mid shot fight, hakama kimono, pinhole camera effect, aikido, a woman floats in midair, man in white t - shirt, scp-049, full subject shown in photo, marjaryasana and bitilasana, screen cap, kicking",Enabled_00033_.csv
0033.png,"there is a man that is doing a trick on a skateboard, draped in flowing fabric, still from l'estate, by Marion Ancrum, fisting monk, aerial combat, stillframe, white robe, whirlwind, shinigami, exposure 1/40secs, women fighting men, black robes, anamorphic film, xray hd, animation film",Enabled_00033_.csv
0117.png,"there is a young boy standing on a bed with a cat on it, samuel l. jackson as a ballerina, video art, favela, filmstill, six from little nightmares, black and white cinematography, 2070, riyahd cassiem, laughing maniacally, elongated arms, subject= chimp, what depression looks like, 2 0 5 0 scary movie",Enabled_00033_.csv
0090.png,"arafed photograph of a bunch of people in a crowd, black paint flows down, still from a music video, twelve arms, richly textured, screenshot from a 2012s anime, rapids, clear cross hatching, by Du Jin, fleshscape, linkin park, by Wojciech Siudmak, torment",Enabled_00033_.csv
0041.png,"there is a man and a woman laying on a bed, will smith punching chris rock, video art, filmstill, black habit, 8 feet fall, 144p, syndicate(2012), subject= chimp, screenshot of cloudjumper, black teenage boy, alarm clock, dramatic action shot, beds, midair",Enabled_00033_.csv
0119.png,"there is a blurry image of a person on a bed, inspired by Jang Seung-eop, film still from sin city, background: battle scene, lines and movement and motion, animation still screencap, hostages, scp, falling apart, room, disorder, syndicate(2012), official artwork, photo taken with canon 5d, his clothes are torn and dirty",Enabled_00033_.csv
0097.png,"arafed silhouette of a person reaching up to the sky, die antwoord music video, undulating nebulous clouds, made of wool, strong ambient occlusion, in the burning soil desert, below only cloud dark void, emotion : madness, glaciers, rodin style, devil wings, in screenshot from the 300 movie, yeezy",Enabled_00033_.csv
0046.png,"there is a man jumping on a bed with a sheet, in thomas ruff style, still from the film, inspired by Kati Horna, black and white color photograph, shot on anamorphic lenses, destroying the walls, taken in the late 2010s, people running away, postpunk, upside-down, 1 / 1 2 5 shutter speed",Enabled_00033_.csv
0073.png,"there is a woman sitting on a bed with a blanket, skinless head, 1 9 7 0 s female alive, multiple limbs, tachism, film screenshot, half - electric striking woman, leatherface, twisting, blindfold, courtesy of centre pompidou, extra limbs, damaged, punished, photo of a woman",Enabled_00033_.csv
0008.png,"there is a man that is holding a knife in his hand, steven klein, stalin as superman, by Antoni Tàpies, wearing facemask, naturalistic technique, photographed on damaged film, shot on anamorphic lenses, kabuki mask, black-and-white photography, motion photo, face detail, shoulders can be seen, clowns boxing",Enabled_00033_.csv
0074.png,"there is a woman sitting on a bed with a blanket on it, by Roger Ballen, screenshot from the 1983 film, nurse costume, fleshy person with extra limbs, attack zombie during worldwar 2, wide-angle photograph, ectoplasm, multiple illusory arms, harrowing, as photograph",Enabled_00033_.csv
0006.png,"arafed man with a knife and a knife in his hand, futuristic tetsuo, film still of manny pacquiao, scars on eye, 1960, wrestlers wearing vr headsets, brooklyn museum, 16mm soft light, digital screenshot, inspired by Chen Hongshou, circa 1958, reallism, boxing gloves, edward norton",Enabled_00033_.csv
0122.png,"there is a man jumping on a bed with a bag, by Tadeusz Dominik, sensory processing overload, f1.8 anamorphic, whirlwind, film still promotional image, schizophrenia, degradation, spirits flying, boy's room, taken in the late 2010s, storyboard, sprinting, fig.1, displacement, asylum",Enabled_00033_.csv
0125.png,"they are two women in a bed with clothes on the bed, by Peter Lindbergh, swirling fabric, by Gerard Sekoto, motion design, people dancing in background, by Jemima Blackburn, with fluent cloths, black-and-white photography, avatar ( 2 0 0 9 ), detail content, midair, african female android, blog-photo, unarmed combat",Enabled_00033_.csv
0001.png,"there is a man that is sitting on a bed with a remote control, dynamic dance photography, by Jang Seung-eop, alarm clock, photographed on damaged film, screengrab, production photo, panning shot, lin hsiang, official artwork, 2 0 1 1, -h 640, captura, waking up, dynamic action shot",Enabled_00033_.csv
0134.png,"there is a man sitting on a bed with a hat on, petra collins and mc. escher, elle fanning, still frame from prometheus, 8 h, black and white with mixed noise, person in foreground, promotional render, asleep, distorted photo, protagonist in foreground",Enabled_00033_.csv
0010.png,"arafed woman with a bandage on her face sitting on a bed, data bending, anamorphic film, dynamic moving pose, guernica, 120mm black and white photograph, falling out of the face, fleshy creature above her mouth, postpunk, slow - shutter, falling buildings, creative commons attribution, by Adrienn Henczné Deák",Enabled_00033_.csv
0017.png,"there is a man holding a baby in the air above a pile of clothes, heavy film grain, contemporary dance poses, still photo, realistic cloth puppet, amano yoshitaka, loosely cropped, running freely, 'untitled 9 ', scene from the film, ranjit ghosh, —n 9, year 1 9 7 0, monk, creative commons attribution",Enabled_00033_.csv
0133.png,"there is a woman that is playing a video game in the room, pinhole photography, messy bed, running and falling on clouds, 2013, animation still screencap, gesture drawings, fetus, shot on alexa, greyscale 1 9 9 0, tonal topstitching, ptsd, uncropped, breakdancing, saturn devouring his son",Enabled_00033_.csv
0019.png,"someone is sitting on a bed with a cat in their lap, cinematrography, flowing cloth and smoke, orphism style, experimental techniques, black squares on 4 corners, eraserhead, membrane wings, inspired by Théodule Ribot, early screen test, shattered wall, wearing translucent sheet",Enabled_00033_.csv
0065.png,"there is a man standing on a bed with a messy bed spread, charlie immer and jenny saville, movement effects, black and white image, artist wearing torn overalls, marfan syndrome, production photo, anamorphic, dead child, swirling fabric, fractured",Enabled_00033_.csv
0062.png,"three young boys jumping on a bed with sheets covering them, rei kawakubo artwork, longhouse, kids playing, motion photo, the victim is in the center, taken with a canon eos 5d, attacking, aggression, massacre, press shot, anamorphic film, blurry image",Enabled_00033_.csv
0057.png,"they are playing a game of wii in a messy room, by Carrie Mae Weems, film still of manny pacquiao, attacking, blanket, kid, by Suzanne Duchamp-Crotti, sigourney weaver, excessivism, photo documetalism, inspired by Bert Stern, year 1968, falling, daido moriyama, principal photography",Enabled_00033_.csv
0086.png,"arafed image of a person laying in a bed with pillows, still frame from prometheus, contemporary dance, black paint flows down, punching in a bag, giant grave structures, greyscale, rocks flying, photo documetalism, death and dying, metal garments",Enabled_00033_.csv
0108.png,"arafed man in a white shirt doing a trick on a bed, tuareg, archillect, from commedia dell'arte, in style of tyler mitchell, aspect ratio 16:9, whirlwind, turban, flowing rhythms, kicking, somali attire, by Jack Smith, overturned chalice",Enabled_00033_.csv
0050.png,"there are two people that are playing on a bed together, inspired by Marina Abramović, sparring, full image, doing a kick, filmstill, white and black clothing, pointed hoods, damaged webcam image, loosely cropped, ski masks, folded, close-up fight, robbery",Enabled_00033_.csv
0081.png,"a close up of a bunch of white cloth on a table, light charcoal drawing, still frame from prometheus, swirling fabric, muscular men entwined together, filleting technique, liquid smoke twisting, dough sculpture, by Alasdair Grant Taylor, screenshot from the anime film, artgram, art »",Enabled_00033_.csv
0022.png,"there is a man that is standing on a bed with a skateboard, by Li Shida, creepy child, captura, square lines, headbanging, 4yr old, early screen test, destroying the walls, bed, unconscious design, singapore ( 2 0 1 8 ), kids playing",Enabled_00033_.csv
0106.png,"there is a man laying on a bed under a blanket, contemporary dance, dust clouds | homoerotic, anamorphic, flying shot, choi, black and white paint, leaping towards viewer, syndicate(2012), ! dream, ethereal curtain, levitating sand, destroying the walls, torn cape, masterful composition",Enabled_00033_.csv
0101.png,"there are two people standing in the snow with their skis, still frame from prometheus, abstract cloth simulation, black and white cinematography, found on a volcano, black volcano afar, siggraph, wearing desert poncho, ground explosion, batwings",Enabled_00033_.csv
0059.png,"they are playing a game of wii on a bed with a sheet, gutai group, panning shot, jamel shabazz, black and white image, wearing a white folkdrakt dress, experimental techniques, tonal topstitching, widescreen shot, by Henriette Grindat, tribe members chasing, dancers",Enabled_00033_.csv
0088.png,"there are many people laying on the ground in a pile, gloves and jewelry. motion, 16mm film, still frame from prometheus, black - and - white photograph, cloth simulation, twelve arms, closeup of arms, operating room, packaging, by Weiwei, necromorph, aspect ratio 16:9, cells, lined in cotton, alien autopsy",Enabled_00033_.csv
0025.png,"there is a blurry image of a woman playing a game of wii, draped in flowing fabric, filmgrain, f1.8 anamorphic, noir film, abstract human figures dancing, taken with canon eos 5 d, screenshot from a 2012s anime, one-line drawing, tattered fabric, filmstill, inspired by Tadeusz Dominik",Enabled_00033_.csv
0124.png,"they are playing a game of wii in a messy room, trent parke, f1.8 anamorphic, people flee, childs bedroom, promo poster, blur, fighting each other, syndicate(2012), production photo, anthony macbain, grayscale photography, blanket, motion, 35mm photograph",Enabled_00033_.csv
0000.png,"arafed man sitting on a bed with his arm extended, spit flying from mouth, japanese vfx, schizophrenia, hicham habchi, head and upper body in frame, glass arms, ape, frightening appearance, film screenshot, in the morning, dynamic moving pose, normal nose, whirlwind, highly realistic photograph",Enabled_00033_.csv
0007.png,"arafed man with a cat on his head sitting at a table, an angel with boxing gloves, in style of alasdair mclellan, movie still frame, thin scar on his forehead, teenage boy, determined expression, stretching to walls, mid-transformation, liam, payne's grey, stillframe, large-format photography, extreme hand detail, screencap, playful!!!",Enabled_00033_.csv
0123.png,"they are playing with a bed in a room with a window, running towards the camera, black energy, deblur, 2013, intense black eyes, film screenshot, tonal topstitching, children, the white rabbit, scp, aggression, action photo, 70mm film screenshot, cutscene, 2 0 0 9",Enabled_00033_.csv
0009.png,"there is a man with a hat and sunglasses on laying on a bed, stop-motion film (1924), anonymous mask, photograph of three ravers, distorted photo, hand over mouth, multiple illusory arms, stephen fry, year 1968, athletic man in his 30s, human chimera, 35mm film still from 1994",Enabled_00033_.csv
0075.png,"there is a man sitting on a bed with a white shirt, steven klein, disfigured figure, schizophrenia, georgia anne muldrow, still from nature documentary, black supremacy, no extra limbs, vile, gelatin silver process photo, marfan syndrome, chris farley, powerful imagery",Enabled_00033_.csv
0072.png,"there is a woman sitting on a bed with her legs crossed, the mask is broken, black eyed kids, documentary photograph, photograph realism, still from film, female thief, hands in her hair. side-view, desperate action, clemente, masked, exploited, scp-049, breeding, jose miguel roman frances, fetish, taken on a 1960s kodak camera",Enabled_00033_.csv
0096.png,"araffes of snow on the ground with a black and white photo, in screenshot from the 300 movie, anime clouds, aerial footage, standing in a dimly lit room, by Daniel Seghers, lying on a fuzzy blanket, metallic surface, foreboding sea, comixwave films",Enabled_00033_.csv
0047.png,"there is a young boy playing a game of wii in a room, rick owens, brutal fight, panning shot, still image from the movie, by Alasdair Grant Taylor, holding a white flag, female ascending, digital screenshot, aftereffects, acrobatic, artistic depiction",Enabled_00033_.csv
0091.png,"arafed view of a field of snow with a lone snowboarder in the distance, still from the movie the arrival, abstract mosh pit, lying on a fuzzy blanket, dazzle camouflage, screenshot from the anime film, by Erwin Bowien, doomsday, monotone, syndicate(2012), bombs are falling from the sky, auschwitz camp, ants",Enabled_00033_.csv
0040.png,"there are two people that are laying in bed together, aida muluneh, in a jumping float pose, in foreground boy with shotgun, diaphanous iridescent cloth, loosely cropped, swirling schools of silver fish, balance beams, rotoscoped, folded, trevor brown style, ballet performance photography, the blacksmits’ daughter, orelsan",Enabled_00033_.csv
0118.png,"there is a young child jumping on a bed with a hat on, 1950s korean thriller film noir, ultrafine detail ”, flying hair, interstellar film ( 2 0 1 4 ), extreme motion blur, scp, white man with black fabric mask, schizophrenia, aspect ratio 1:3, messy bed, greyscale 1 9 9 0, body breaking apart",Enabled_00033_.csv
0032.png,"there is a man riding a skateboard on a sidewalk, inspired by Marina Abramović, close-up fight, still image from the movie, gunwoo kim and j.dickenson, speed blur, white and black clothing, film screenshot, tiktok video, fig.1, leaping towards viewer, white belt, inspired by Chagall, leg",Enabled_00033_.csv
0116.png,"there is a woman standing on a bed in a room, goro and kunkle, black and white cinematography, accurate jimin face, creepy child, destroying the walls, archillect, on his left hand, flailing, waking up, inspired by Stokely Webster",Enabled_00033_.csv
0098.png,"araffes in the snow with a frisbee in the air, still from a music video, flared japanese black tile roof, hedi slimane, pictured from the shoulders up, thin brush strokes, swiss design, yeezus, dark ambient",Enabled_00033_.csv
0049.png,"there is a man that is jumping on a bed in the room, filmstill, contemporary dance, wearing black modern clothes, severed limbs, standing in a maelstrom, official artwork, aftereffects, 4 limbs and civilized behavior, low resolution sync, torn fabric",Enabled_00033_.csv
0111.png,"there is a blurry image of a person jumping on a bed, clothed in white shirt, by Per Kirkeby, inspired by Billie Waters, inspired by Christian W. Staudinger, torn shirt, production photo, destroying the walls, asylum, sprinting, album artwork, 2013, fabric, monochromatic photo, war theatre",Enabled_00033_.csv
0035.png,"there is a woman standing on a bed with a man laying on the floor, margiela campaign, punching, animation still screencap, white and black clothing, loosely cropped, kids playing, astronaut below, photo, flowing fabric, mudoken, paul kwon, abused",Enabled_00033_.csv
0100.png,"there are two people standing on a snowy hill with a dog, nuclear war, video art, dark ruins, by Antoni Pitxot, still from the film, thatched roof, abstract album cover, aspect ratio 1:3, built in the egyptian desert, dark tint, windows and walls :5, cinematic closeup, bomb explosion, yeezus, walls",Enabled_00033_.csv
0058.png,"there are three people standing on a bed playing with a wii mote, gutai group, black and white film photograph, sprinting, still frame from a movie, torn fabric, in foreground boy with shotgun, workers, painting on the ceiling, white shirts, photo blurring, round-cropped, takeuchi takashi, photo of shiprock, blanket",Enabled_00033_.csv
0089.png,"there is a black and white photo of a person holding a bunch of bananas, 2 0 1 5 live music video, soft translucent fabric folds, soldier under heavy fire, filmstill, sisyphus compostition, highly turbulent, animation still screencap, war photo, time - lapse, inspired by Marjorie Frances Bruford, caustic shadows, fabrics and textiles",Enabled_00033_.csv
0024.png,"there is a bed with a bunch of pillows and blankets on it, fritz lang and shinya tsukamoto, inspired by Sigmar Polke, archillect, shot on alexa, dirty walls, 1959, tapestry, aspect ratio 16:9, here's johnny, abstract composition, destroying the walls, wimmelbild",Enabled_00033_.csv
0023.png,"there is a man sitting on a bed with a book and a remote, screaming at the camera, circa 1958, ray william johnson, hyperrealistic movie filmstill, by Edward Dugmore, punching, loosely cropped, alarm clock, dream ethnology, performing a music video, sheet, they are fighting very angry, deepfake",Enabled_00033_.csv
0107.png,"arafed man in white shirt jumping on bed with his legs spread, film still from sin city, wearing desert poncho, slow - mo high speed photography, high kick, cubism and / or romanticism, still from a music video, white suit and black tie, windstorm, androgyny, close-up fight, inspired by Frederic Leighton, dust devils",Enabled_00033_.csv
0109.png,"there is a black and white photo of a person on a skateboard, falling sand inside, filmstill, inspired by Bruce McLean, adventure hyper realistic render, the wind moves her shirt, rock climbing, panoramic anamorphic, sheet, blowing sands, exploitable image, inspired by Wojciech Siudmak",Enabled_00033_.csv
0051.png,"they are playing with a ball in a bedroom with a bed, official jil sander editorial, gif, extreme motion blur, spike pit, inspired by Albin Egger-Lienz, 2 0 1 4, film screenshot, bump mapping, midair, maelstrom, stomping",Enabled_00033_.csv
0080.png,"arafed blanket on a bed with a person laying on it, by Herb Ritts, detailed charcoal drawing, anamorphic illustration, twisting vapour, photography award, rachel walpole art, behance. polished, diffuse sunlight, twisted flux, in this painting, by Jean Clark, behance. high detail, jagged",Enabled_00033_.csv
0056.png,"there is a woman that is standing on a bed with a blanket, spit flying from mouth, stillframe, media art, asian male, wearing pants and a t-shirt, fighting posture, torn fabric, photo taken in 2018, cal-arts, dynamic moving pose, homelander, scp-049, poncho, samuel l. jackson as a ballerina",Enabled_00033_.csv
0087.png,"there are many pairs of shoes that are laying on the ground, still frame from prometheus, swirling fabric, by Raoul Ubac, performing to dead soldiers, necromorph, grayscale photography, closeup of arms, folds of fabric, the the man is wrapped in chains, noir animation, un made bed, hyper - detailed photo, dead soldiers, tombs",Enabled_00033_.csv
0063.png,"there is a man jumping in the air on a bed, still frame from a movie, yohji yamamoto, in a fighting stance, jeongseok lee, loosely cropped, waking up, promotional artwork, kicking, disordered",Enabled_00033_.csv
0018.png,"there is a black and white photo of a bed with a bird flying over it, still frame from a movie, abstract cloth simulation, anamorphic 35 mm lens, pointe pose, by Lili Árkayné Sztehló, holding paintbrushes, vfx action shot, postminimalism, loosely cropped, lossless",Enabled_00033_.csv
0064.png,"there is a man that is jumping on a bed with a baby, video art, chaotic and brutal, kpop, movie screenshot, fighting posture, the victim is in the center, black and white cinematography, white sheets, schizophrenia, official artwork, demon boy, beaten, fisting, ar, 8 h, aspect ratio 16:9, torn fabric, child like",Enabled_00033_.csv
0016.png,"there is a man that is jumping in the air with a frisbee, futuristic tetsuo, blurred detail, film still of manny pacquiao, white bandages on fists, anamorphic film, close up 1 9 9 0, enhanced hands, sucker punch, ken currie, martial arts tournament, radiohead, six arms, zack snyder 3 8 4 0 x 2 1 6 0",Enabled_00033_.csv
0132.png,"there is a man sitting on a boat with a lot of fish, photo in style of tyler mitchell, messy bed, ultra phonk, loosely cropped, various lacivious seducing poses, white baseball cap, grainy black and white footage, #vfxfriday, tyler the creator, towels, portrait of 1 5 - year - old boy, lavish",Enabled_00033_.csv
0135.png,"there is a woman that is playing tennis on the bed, inspired by Carrie Mae Weems, screaming face, filmstill, african woman, rap, taken in the late 2010s, storyboard, grey robe, in pain, horrorcore, motion photo, dead child, crack head",Enabled_00033_.csv
0011.png,"there is a man that is laying down with a tie, inspired by Grete Stern, epic wrestling combat, widescreen shot, asian man, latex flesh and facial muscles, naturalistic technique, film still from an cartoon, highly detailed faces, ivan shiskin, without text, twitter, artforum, fig.1, fight, surgery, still photo",Enabled_00033_.csv
0014.png,"several people are on the ground with skateboards and one is falling, still frame from a movie, tekken, tribe members attacking, jason chan and gilles beloeil, white and red body armor, archival footage, landslides",me trying to wake up.csv
0013.png,"several people are gathered around a man laying on the ground, white helmet, out-of-focus background, hidden camera photo, mexican, dead bodies scattered in mud, walking towards the camera, high cohesiveness, clear and sunny, faceless people, white borders, beaten",me trying to wake up.csv
0021.png,"several people are standing around a pile of trash on the ground, in a war - torn desert village, dvd screencapture, caroline gariba, dead bodies in mud, july 2 0 1 1, children playing at the beach, extremely graphic, bodyless, laying down, by Camille Bombois, floor tiles, workers, animals",me trying to wake up.csv
0002.png,"several people are gathered around a dead animal on the ground, epic wrestling combat, miners, airsoft cqb, in an action pose, people dancing in background, dry river bed, color graded, gravel and scree ground, dynamic stretching",me trying to wake up.csv
0005.png,"several people are doing a trick on a skateboard in the dirt, sci-fi tibetan fashion, cruelty, screenshot from a movie, by Israel Tsvaygenbaum, bodies on the ground, 2019, blurry image, ds, great migration, landslides, near lake baikal, tear gas, 3-d 8k, kojima",me trying to wake up.csv
0020.png,"there are many people standing around a pile of dead animals, dark visor covering eyes, sand swirling, 2010s, lower quality, body and head in frame, in chuquicamata, people drowning, magical and alchemical weapons, july 2 0 1 1, news footage, more relief effects",me trying to wake up.csv
